version,1.7.0
info,balls_per_over,6
info,team,Vidarbha
info,team,Rajasthan
info,gender,male
info,season,2020/21
info,date,2021/01/11
info,event,Syed Mushtaq Ali Trophy
info,venue, Emerald Heights International School Ground
info,city,
info,toss_winner,Rajasthan
info,toss_decision,field
info,winner,Rajasthan
info,winner_wickets,3
info,player,Vidarbha,JM Sharma
info,player,Vidarbha,Atharva Taide
info,player,Vidarbha,Ganesh Satish
info,player,Vidarbha,RR Rathod
info,player,Vidarbha,Siddhesh Wath
info,player,Vidarbha,Akshay Karnewar
info,player,Vidarbha,AV Wankhade
info,player,Vidarbha,DG Nalkande
info,player,Vidarbha,NN Bhute
info,player,Vidarbha,Yash Thakur
info,player,Vidarbha,Akshay Wakhare
info,player,Rajasthan,DL Chahar
info,player,Rajasthan,KK Ahmed
info,player,Rajasthan,A Choudhary
info,player,Rajasthan,Ravi Bishnoi
info,player,Rajasthan,RD Chahar
info,player,Rajasthan,MN Singh
info,player,Rajasthan,Ankit Lamba
info,player,Rajasthan,MK Lomror
info,player,Rajasthan,R Bishnoi
info,player,Rajasthan,AL Menaria
info,player,Rajasthan,Arjit Gupta
info,registry,people,A Choudhary,18e6906e
info,registry,people,AL Menaria,8291f939
info,registry,people,AV Wankhade,5708d0b6
info,registry,people,Akshay Karnewar,e1e7f950
info,registry,people,Akshay Wakhare,ec9fc54b
info,registry,people,Ankit Lamba,90a3c0dc
info,registry,people,Arjit Gupta,145903a5
info,registry,people,Atharva Taide,1ac746c8
info,registry,people,DG Nalkande,cd8d2859
info,registry,people,DL Chahar,23eeb873
info,registry,people,Ganesh Satish,0ed1a112
ball,1,12.7,Vidarbha,Siddhesh Wath,AV Wankhade,RD Chahar,0,0,,,,,,"",""
ball,1,13.1,Vidarbha,AV Wankhade,Siddhesh Wath,Ravi Bishnoi,1,0,,,,,,"",""
ball,1,13.2,Vidarbha,Siddhesh Wath,AV Wankhade,Ravi Bishnoi,0,0,,,,,,"",""
ball,1,13.3,Vidarbha,Siddhesh Wath,AV Wankhade,Ravi Bishnoi,6,0,,,,,,"",""
ball,1,13.4,Vidarbha,Siddhesh Wath,AV Wankhade,Ravi Bishnoi,0,0,,,,,,"",""
ball,1,13.5,Vidarbha,Siddhesh Wath,AV Wankhade,Ravi Bishnoi,1,0,,,,,,"",""
ball,1,13.6,Vidarbha,AV Wankhade,Siddhesh Wath,Ravi Bishnoi,1,0,,,,,,"",""
ball,1,14.1,Vidarbha,AV Wankhade,Siddhesh Wath,KK Ahmed,1,0,,,,,,"",""
ball,1,14.2,Vidarbha,Siddhesh Wath,AV Wankhade,KK Ahmed,1,0,,,,,,"",""
ball,1,14.3,Vidarbha,AV Wankhade,Siddhesh Wath,KK Ahmed,1,0,,,,,,"",""
ball,1,14.4,Vidarbha,Siddhesh Wath,AV Wankhade,KK Ahmed,4,0,,,,,,"",""
ball,1,14.5,Vidarbha,Siddhesh Wath,AV Wankhade,KK Ahmed,2,0,,,,,,"",""
ball,1,14.6,Vidarbha,Siddhesh Wath,AV Wankhade,KK Ahmed,1,0,,,,,,"",""
ball,1,15.1,Vidarbha,Siddhesh Wath,AV Wankhade,RD Chahar,1,0,,,,,,"",""
ball,1,15.2,Vidarbha,AV Wankhade,Siddhesh Wath,RD Chahar,0,0,,,,,,"",""
ball,1,15.3,Vidarbha,AV Wankhade,Siddhesh Wath,RD Chahar,0,0,,,,,,lbw,AV Wankhade
ball,1,15.4,Vidarbha,DG Nalkande,Siddhesh Wath,RD Chahar,0,0,,,,,,"",""
ball,1,15.5,Vidarbha,DG Nalkande,Siddhesh Wath,RD Chahar,1,0,,,,,,"",""
ball,1,15.6,Vidarbha,Siddhesh Wath,DG Nalkande,RD Chahar,0,0,,,,,,lbw,Siddhesh Wath
ball,1,16.1,Vidarbha,DG Nalkande,NN Bhute,A Choudhary,1,0,,,,,,"",""
ball,1,16.2,Vidarbha,NN Bhute,DG Nalkande,A Choudhary,1,0,,,,,,"",""
ball,1,16.3,Vidarbha,DG Nalkande,NN Bhute,A Choudhary,0,0,,,,,,"",""
ball,1,16.4,Vidarbha,DG Nalkande,NN Bhute,A Choudhary,0,0,,,,,,"",""
ball,1,16.5,Vidarbha,DG Nalkande,NN Bhute,A Choudhary,0,0,,,,,,caught,DG Nalkande
ball,1,16.6,Vidarbha,Yash Thakur,NN Bhute,A Choudhary,0,0,,,,,,"",""
ball,1,17.1,Vidarbha,NN Bhute,Yash Thakur,KK Ahmed,1,0,,,,,,"",""
